NUMBER,SCRIPT_ID,IMDB,TITLE,YEAR,GROSS,GENRE,AWARD,NOTES,X
198,861,tt0097216,Do the Right Thing,1989,60,drama,3,,
199,864,tt0072890,Dog Day Afternoon,1975,NA,drama,3,,
201,4121,tt0421054,Domino,2005,13,action,1,,
203,868,tt0082288,Dragonslayer,1981,18,sci-fi,2,,
204,2184,tt0780504,Drive,2011,38,crime,3,,
205,2188,tt0157503,Drop Dead Gorgeous,1999,18,comedy,1,,
207,2193,tt0109686,Dumb & Dumber,1994,264,comedy,1,,
208,875,tt0087182,Dune,1984,70,sci-fi,2,,
209,2202,tt1282140,Easy A,2010,64,comedy,3,,
210,2204,tt0131369,Edtv,1999,38,comedy,2,,
211,878,tt0099487,Edward Scissorhands,1990,116,sci-fi,3,,
212,2210,tt0271367,Eight Legged Freaks,2002,25,horror,1,,
213,1137,tt0104815,El mariachi,1992,4,action,2,,
214,2214,tt0126886,Election,1999,25,comedy,3,,
216,885,tt0414055,Elizabeth: The Golden Age,2007,20,drama,3,,
218,2222,tt0120660,Enemy of the State,1998,207,action,2,,
219,2226,tt0278435,Enough,2002,58,action,2,,
221,4169,tt0195685,Erin Brockovich,2000,203,drama,3,,
222,892,tt0116225,Escape from L.A.,1996,49,sci-fi,1,,
223,2239,tt0082340,Escape from New York,1981,78,sci-fi,1,,
224,2240,tt0338013,Eternal Sunshine of the Spotless Mind,2004,47,drama,3,,
225,2243,tt0106834,Even Cowgirls Get the Blues,1993,3,comedy,1,,
226,2244,tt0119081,Event Horizon,1997,50,horror,1,,
227,902,tt0119094,Face/Off,1997,212,action,2,,
228,2265,tt0120667,Fantastic Four,2005,210,sci-fi,2,,
231,2267,tt0116282,Fargo,1996,48,drama,3,,
232,906,tt0083929,Fast Times at Ridgemont High,1982,NA,comedy,1,,
233,2273,tt0106873,Fatal Instinct,1993,16,comedy,0,,
234,5309,tt0101862,Father of the Bride,1991,184,comedy,2,,
235,2276,tt0120669,Fear and Loathing in Las Vegas,1998,19,comedy,3,,
236,4204,tt0362636,Fear of Clowns,2004,NA,horror,0,,
237,910,tt0426459,Feast,2005,NA,horror,1,,
238,909,tt0091042,Ferris Bueller's Day Off,1986,164,comedy,3,,
239,2282,tt0097351,Field of Dreams,1989,141,sci-fi,3,,
240,912,tt0137523,Fight Club,1999,63,drama,2,,
241,915,tt0195714,Final Destination,2000,86,horror,1,,
242,2294,tt0309593,Final Destination 2,2003,67,horror,2,,
244,916,tt0065724,Five Easy Pieces,1970,NA,drama,3,,
245,4218,tt0240507,Five Feet High and Rising,2000,NA,drama,3,,
246,2299,tt0080745,Flash Gordon,1980,NA,sci-fi,2,,
247,2303,tt1907668,Flight,2012,102,drama,3,,
249,921,tt0109830,Forrest Gump,1994,686,drama,3,,
250,2311,tt0113101,Four Rooms,1995,8,comedy,1,mtv best sandwich ,
251,2313,tt1100089,Foxcatcher,2014,12,drama,3,,
252,2314,tt0488120,Fracture,2007,49,crime,2,,
253,2316,tt0083967,Frances,1982,14,drama,3,,
254,2331,tt0186151,Frequency,2000,72,drama,2,,
255,4235,tt0083972,Friday the 13th Part III,1982,107,horror,1,,
256,926,tt0097388,Friday the 13th Part VIII: Jason Takes Manhattan,1989,31,horror,1,,
257,2337,tt1438176,Fright Night,2011,20,horror,1,,
258,2338,tt0116367,From Dusk Till Dawn,1996,20,horror,1,,
260,2344,tt0978759,Frozen River,2008,3,drama,23,,
261,2346,tt2334649,Fruitvale Station,2013,17,drama,2,,
262,937,tt0119173,G.I. Jane,1997,91,action,2,,
263,4256,tt0177789,Galaxy Quest,1999,122,sci-fi,2,,
264,2358,tt0425055,Game 6,2005,NA,drama,0,,
265,939,tt1034032,Gamer,2009,23,sci-fi,0,,
266,2368,tt0083987,Gandhi,1982,NA,drama,3,,
267,2370,tt0118900,Gang Related,1997,10,action,0,,
